Date,Time,Site,Unit ID,User ID,C-19G100574,mmHg-13E101284,DO %-19G102396,DO %L-19G102396,DO mg/L-19G102396,SPC-uS/cm-19G100574,C-uS/cm-19G100574,nLFC-uS/cm-19G100574,TDS mg/L-19G100574,SAL-PSU-19G100574,pH-21E102787,pH mV-21E102787,ORP mV-21E102787,FNU-13E101322,TSS mg/L-13E101322,TAL-PC RFU-13D100703,TAL-PC ug/L-13D100703,Chl RFU-13D100703,Chl ug/L-13D100703,fDOM RFU-13E100386,fDOM QSU-13E100386,DEP m-13D102108,Vpos m-13D102108,DEP psia-13D102108,Wiper V-19H101164,Cable V-13E101468,Batt V-13E101468
2023-07-17,11:07:00,Default Site,Sonde 13E101468,,24.807,737,67.2,69.4,5.57,749.7,746.9,749.9,487,0.36,7.3,-64.9,66.5,1611.41,0,1.47,1.38,0.61,2.71,-0.46,-1.79,-0.022,-0.025,-0.031,1.219,0,5.48
2023-07-17,11:07:02,Default Site,Sonde 13E101468,,24.805,737,67.2,69.4,5.57,749.7,746.9,750,487,0.36,7.3,-64.9,66.4,1611.02,0,1.46,1.37,0.6,2.7,-0.46,-1.8,-0.022,-0.021,-0.031,1.219,0,5.48
2023-07-17,11:07:03,Default Site,Sonde 13E101468,,24.805,737,67.3,69.4,5.57,749.7,746.9,750,487,0.36,7.3,-64.9,66.4,1610.72,0,1.46,1.37,0.6,2.68,-0.47,-1.82,-0.022,-0.022,-0.031,1.219,0,5.48
2023-07-17,11:07:05,Default Site,Sonde 13E101468,,24.804,737,67.3,69.4,5.57,749.6,746.8,749.9,487,0.36,7.3,-64.9,66.3,1610.45,0,1.46,1.38,0.6,2.69,-0.46,-1.8,-0.022,-0.022,-0.031,1.219,0,5.48
2023-07-17,11:07:07,Default Site,Sonde 13E101468,,24.805,736.9,67.3,69.4,5.57,749.6,746.8,749.9,487,0.36,7.3,-64.9,66.3,1610.02,0,1.46,1.37,0.59,2.65,-0.46,-1.79,-0.022,-0.023,-0.031,1.219,0,5.48
2023-07-17,11:07:08,Default Site,Sonde 13E101468,,24.806,736.9,67.3,69.4,5.57,749.6,746.8,749.9,487,0.36,7.3,-64.9,66.2,1609.67,0,1.46,1.37,0.59,2.63,-0.45,-1.78,-0.022,-0.017,-0.031,1.219,0,5.48
2023-07-17,11:07:10,Default Site,Sonde 13E101468,,24.809,736.9,67.3,69.4,5.57,749.5,746.8,749.8,487,0.36,7.3,-64.9,66.2,1609.11,0,1.45,1.36,0.59,2.65,-0.45,-1.77,-0.022,-0.024,-0.031,1.219,0,5.47
2023-07-17,11:15:39,Default Site,Sonde 13E101468,,21.888,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.7,97.9,1.65,0,0.21,0.21,0.03,0.26,-0.18,-0.91,-0.021,-0.021,-0.03,1.219,0,5.43
2023-07-17,11:15:40,Default Site,Sonde 13E101468,,21.89,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.7,97.7,1.63,0,0.21,0.21,0.03,0.28,-0.18,-0.92,-0.021,-0.02,-0.03,1.219,0,5.43
2023-07-17,11:15:42,Default Site,Sonde 13E101468,,21.891,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.8,97.6,1.63,0,0.22,0.21,0.04,0.3,-0.19,-0.94,-0.021,-0.022,-0.03,1.219,0,5.43
2023-07-17,11:15:44,Default Site,Sonde 13E101468,,21.892,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.8,97.5,1.63,0,0.22,0.21,0.03,0.26,-0.19,-0.94,-0.021,-0.017,-0.03,1.219,0,5.43
2023-07-17,11:15:45,Default Site,Sonde 13E101468,,21.894,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.8,97.4,1.62,0,0.22,0.21,0.03,0.28,-0.19,-0.94,-0.021,-0.021,-0.03,1.219,0,5.43
2023-07-17,11:15:47,Default Site,Sonde 13E101468,,21.895,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.9,97.3,1.61,0,0.22,0.21,0.03,0.25,-0.19,-0.92,-0.021,-0.02,-0.03,1.219,0,5.43
2023-07-17,11:15:49,Default Site,Sonde 13E101468,,21.896,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-101.9,97.1,1.6,0,0.21,0.2,0.04,0.29,-0.18,-0.92,-0.022,-0.022,-0.031,1.219,0,5.44
2023-07-17,11:15:51,Default Site,Sonde 13E101468,,21.898,737,96.4,99.4,8.44,1.3,1.2,1.3,1,0,7.96,-101.9,97,1.61,0,0.21,0.2,0.04,0.29,-0.18,-0.91,-0.021,-0.02,-0.03,1.219,0,5.44
2023-07-17,11:15:52,Default Site,Sonde 13E101468,,21.899,737,96.4,99.4,8.44,1.3,1.2,1.3,1,0,7.96,-102,96.9,1.61,0,0.21,0.2,0.05,0.33,-0.18,-0.92,-0.021,-0.02,-0.03,1.219,0,5.44
2023-07-17,11:15:54,Default Site,Sonde 13E101468,,21.9,737,96.4,99.4,8.44,1.3,1.2,1.3,1,0,7.96,-102,96.8,1.62,0,0.21,0.2,0.05,0.35,-0.18,-0.91,-0.022,-0.022,-0.031,1.219,0,5.44
2023-07-17,11:15:56,Default Site,Sonde 13E101468,,21.901,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-102,96.7,1.61,0,0.21,0.21,0.05,0.36,-0.18,-0.9,-0.021,-0.019,-0.03,1.219,0,5.44
2023-07-17,11:15:57,Default Site,Sonde 13E101468,,21.903,737,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-102.1,96.6,1.61,0,0.22,0.21,0.05,0.36,-0.18,-0.89,-0.021,-0.023,-0.03,1.219,0,5.44
2023-07-17,11:15:59,Default Site,Sonde 13E101468,,21.904,736.9,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-102.1,96.5,1.62,0,0.22,0.21,0.06,0.4,-0.17,-0.89,-0.021,-0.017,-0.03,1.219,0,5.45
2023-07-17,11:16:01,Default Site,Sonde 13E101468,,21.905,736.9,96.4,99.4,8.45,1.3,1.2,1.3,1,0,7.96,-102.1,96.4,1.62,0,0.21,0.21,0.05,0.37,-0.17,-0.88,-0.021,-0.02,-0.03,1.219,0,5.45
2023-07-17,11:16:02,Default Site,Sonde 13E101468,,21.907,736.9,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.96,-102.1,96.2,1.63,0,0.21,0.2,0.05,0.36,-0.17,-0.88,-0.021,-0.02,-0.03,1.219,0,5.45
2023-07-17,11:16:04,Default Site,Sonde 13E101468,,21.908,736.9,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.96,-102.2,96.1,1.62,0,0.21,0.21,0.05,0.35,-0.17,-0.88,-0.021,-0.023,-0.03,1.219,0,5.45
2023-07-17,11:16:06,Default Site,Sonde 13E101468,,21.909,736.8,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.96,-102.2,96,1.62,0,0.21,0.21,0.05,0.35,-0.18,-0.91,-0.021,-0.017,-0.03,1.219,0,5.45
2023-07-17,11:16:07,Default Site,Sonde 13E101468,,21.911,736.8,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.2,95.9,1.62,0,0.22,0.21,0.05,0.37,-0.18,-0.91,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:16:09,Default Site,Sonde 13E101468,,21.912,736.8,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.3,95.8,1.61,0,0.22,0.21,0.05,0.36,-0.18,-0.91,-0.021,-0.024,-0.03,1.219,0,5.45
2023-07-17,11:16:11,Default Site,Sonde 13E101468,,21.913,736.8,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.3,95.7,1.61,0,0.22,0.21,0.05,0.35,-0.18,-0.9,-0.021,-0.018,-0.03,1.219,0,5.45
2023-07-17,11:16:12,Default Site,Sonde 13E101468,,21.915,736.8,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.3,95.6,1.61,0,0.22,0.21,0.05,0.37,-0.18,-0.89,-0.021,-0.023,-0.03,1.219,0,5.45
2023-07-17,11:16:14,Default Site,Sonde 13E101468,,21.916,736.8,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.3,95.4,1.6,0,0.22,0.22,0.05,0.33,-0.18,-0.91,-0.021,-0.025,-0.03,1.219,0,5.45
2023-07-17,11:16:16,Default Site,Sonde 13E101468,,21.917,737,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.4,95.3,1.6,0,0.22,0.22,0.04,0.32,-0.19,-0.93,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:16:18,Default Site,Sonde 13E101468,,21.919,737,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.4,95.2,1.59,0,0.21,0.21,0.04,0.32,-0.19,-0.94,-0.021,-0.02,-0.03,1.219,0,5.45
2023-07-17,11:16:19,Default Site,Sonde 13E101468,,21.92,737,96.4,99.5,8.45,1.3,1.2,1.3,1,0,7.97,-102.4,95.1,1.59,0,0.22,0.21,0.05,0.33,-0.19,-0.93,-0.022,-0.025,-0.031,1.219,0,5.45
2023-07-17,11:16:21,Default Site,Sonde 13E101468,,21.921,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.5,95,1.57,0,0.22,0.21,0.05,0.33,-0.19,-0.93,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:16:23,Default Site,Sonde 13E101468,,21.923,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.5,94.9,1.55,0,0.21,0.2,0.06,0.37,-0.19,-0.94,-0.021,-0.021,-0.03,1.219,0,5.45
2023-07-17,11:16:24,Default Site,Sonde 13E101468,,21.924,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.5,94.8,1.55,0,0.21,0.21,0.06,0.38,-0.19,-0.94,-0.021,-0.02,-0.03,1.219,0,5.45
2023-07-17,11:16:26,Default Site,Sonde 13E101468,,21.925,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.6,94.7,1.55,0,0.2,0.19,0.07,0.43,-0.19,-0.93,-0.021,-0.018,-0.03,1.219,0,5.45
2023-07-17,11:16:28,Default Site,Sonde 13E101468,,21.926,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.6,94.6,1.53,0,0.21,0.21,0.07,0.41,-0.18,-0.91,-0.021,-0.015,-0.03,1.219,0,5.45
2023-07-17,11:16:29,Default Site,Sonde 13E101468,,21.928,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.6,94.5,1.54,0,0.21,0.21,0.06,0.39,-0.18,-0.92,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:16:31,Default Site,Sonde 13E101468,,21.929,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.6,94.4,1.54,0,0.22,0.21,0.06,0.4,-0.19,-0.93,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:16:33,Default Site,Sonde 13E101468,,21.93,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.7,94.3,1.54,0,0.21,0.21,0.05,0.35,-0.19,-0.94,-0.021,-0.017,-0.03,1.219,0,5.45
2023-07-17,11:16:34,Default Site,Sonde 13E101468,,21.932,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.7,94.2,1.53,0,0.21,0.2,0.05,0.36,-0.18,-0.91,-0.021,-0.015,-0.03,1.219,0,5.45
2023-07-17,11:16:36,Default Site,Sonde 13E101468,,21.933,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.7,94.1,1.54,0,0.21,0.2,0.05,0.36,-0.18,-0.91,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:16:38,Default Site,Sonde 13E101468,,21.934,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.8,94,1.52,0,0.21,0.2,0.05,0.36,-0.17,-0.88,-0.021,-0.021,-0.03,1.219,0,5.45
2023-07-17,11:16:39,Default Site,Sonde 13E101468,,21.936,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.97,-102.8,93.8,1.53,0,0.2,0.2,0.05,0.33,-0.18,-0.9,-0.021,-0.022,-0.03,1.219,0,5.44
2023-07-17,11:16:41,Default Site,Sonde 13E101468,,21.937,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-102.8,93.7,1.51,0,0.21,0.21,0.05,0.33,-0.18,-0.9,-0.021,-0.023,-0.03,1.219,0,5.44
2023-07-17,11:16:43,Default Site,Sonde 13E101468,,21.938,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-102.8,93.7,1.51,0,0.21,0.2,0.04,0.3,-0.18,-0.9,-0.021,-0.021,-0.03,1.219,0,5.44
2023-07-17,11:16:44,Default Site,Sonde 13E101468,,21.939,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-102.9,93.5,1.5,0,0.2,0.2,0.05,0.33,-0.18,-0.89,-0.021,-0.02,-0.03,1.219,0,5.44
2023-07-17,11:16:46,Default Site,Sonde 13E101468,,21.94,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-102.9,93.4,1.48,0,0.2,0.2,0.05,0.33,-0.18,-0.89,-0.021,-0.024,-0.03,1.219,0,5.44
2023-07-17,11:16:48,Default Site,Sonde 13E101468,,21.942,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-102.9,93.4,1.47,0,0.21,0.21,0.05,0.34,-0.19,-0.93,-0.021,-0.025,-0.029,1.219,0,5.44
2023-07-17,11:16:49,Default Site,Sonde 13E101468,,21.943,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103,93.2,1.46,0,0.22,0.21,0.05,0.35,-0.18,-0.92,-0.021,-0.02,-0.029,1.219,0,5.44
2023-07-17,11:16:51,Default Site,Sonde 13E101468,,21.944,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103,93.2,1.45,0,0.22,0.21,0.06,0.37,-0.18,-0.91,-0.021,-0.022,-0.03,1.219,0,5.44
2023-07-17,11:16:53,Default Site,Sonde 13E101468,,21.945,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103,93,1.46,0,0.22,0.21,0.06,0.4,-0.18,-0.92,-0.021,-0.02,-0.029,1.219,0,5.44
2023-07-17,11:16:54,Default Site,Sonde 13E101468,,21.947,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103,92.9,1.45,0,0.23,0.22,0.06,0.41,-0.18,-0.92,-0.021,-0.025,-0.029,1.219,0,5.44
2023-07-17,11:16:56,Default Site,Sonde 13E101468,,21.948,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.1,92.8,1.46,0,0.23,0.22,0.06,0.4,-0.19,-0.93,-0.021,-0.015,-0.029,1.219,0,5.44
2023-07-17,11:16:58,Default Site,Sonde 13E101468,,21.949,737,96.4,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.1,92.7,1.46,0,0.23,0.23,0.07,0.42,-0.18,-0.91,-0.021,-0.021,-0.029,1.219,0,5.45
2023-07-17,11:16:59,Default Site,Sonde 13E101468,,21.95,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.1,92.7,1.45,0,0.24,0.23,0.06,0.4,-0.18,-0.91,-0.021,-0.024,-0.03,1.219,0,5.45
2023-07-17,11:17:01,Default Site,Sonde 13E101468,,21.951,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.1,92.6,1.46,0,0.23,0.23,0.06,0.41,-0.18,-0.92,-0.021,-0.015,-0.029,1.219,0,5.45
2023-07-17,11:17:03,Default Site,Sonde 13E101468,,21.953,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.2,92.4,1.46,0,0.24,0.23,0.05,0.37,-0.18,-0.91,-0.021,-0.021,-0.03,1.219,0,5.45
2023-07-17,11:17:05,Default Site,Sonde 13E101468,,21.954,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.2,92.3,1.48,0,0.24,0.23,0.06,0.39,-0.19,-0.93,-0.021,-0.021,-0.03,1.219,0,5.45
2023-07-17,11:17:06,Default Site,Sonde 13E101468,,21.955,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.2,92.2,1.47,0,0.23,0.22,0.05,0.37,-0.18,-0.92,-0.021,-0.023,-0.03,1.219,0,5.45
2023-07-17,11:17:08,Default Site,Sonde 13E101468,,21.956,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.3,92.2,1.47,0,0.22,0.22,0.06,0.38,-0.18,-0.91,-0.021,-0.02,-0.03,1.219,0,5.45
2023-07-17,11:17:10,Default Site,Sonde 13E101468,,21.957,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.3,92.1,1.46,0,0.22,0.21,0.06,0.39,-0.19,-0.92,-0.021,-0.026,-0.03,1.219,0,5.45
2023-07-17,11:17:11,Default Site,Sonde 13E101468,,21.959,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.3,92,1.45,0,0.22,0.22,0.05,0.37,-0.19,-0.93,-0.021,-0.024,-0.03,1.219,0,5.45
2023-07-17,11:17:13,Default Site,Sonde 13E101468,,21.96,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.3,91.9,1.47,0,0.21,0.21,0.06,0.38,-0.19,-0.93,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:17:15,Default Site,Sonde 13E101468,,21.961,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.98,-103.4,91.8,1.47,0,0.21,0.2,0.06,0.37,-0.19,-0.95,-0.021,-0.019,-0.03,1.219,0,5.45
2023-07-17,11:17:16,Default Site,Sonde 13E101468,,21.963,736.8,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.4,91.7,1.47,0,0.21,0.21,0.06,0.38,-0.19,-0.93,-0.021,-0.015,-0.03,1.219,0,5.45
2023-07-17,11:17:18,Default Site,Sonde 13E101468,,21.964,736.8,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.4,91.6,1.48,0,0.21,0.21,0.05,0.35,-0.19,-0.94,-0.021,-0.022,-0.03,1.219,0,5.45
2023-07-17,11:17:20,Default Site,Sonde 13E101468,,21.965,736.8,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.4,91.5,1.46,0,0.21,0.21,0.05,0.35,-0.19,-0.94,-0.022,-0.023,-0.031,1.219,0,5.45
2023-07-17,11:17:21,Default Site,Sonde 13E101468,,21.966,736.8,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.5,91.4,1.45,0,0.21,0.2,0.05,0.36,-0.19,-0.94,-0.022,-0.023,-0.031,1.219,0,5.45
2023-07-17,11:17:23,Default Site,Sonde 13E101468,,21.967,736.8,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.5,91.3,1.44,0,0.2,0.2,0.05,0.37,-0.19,-0.93,-0.022,-0.018,-0.031,1.219,0,5.45
2023-07-17,11:17:25,Default Site,Sonde 13E101468,,21.969,736.8,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.5,91.2,1.45,0,0.2,0.19,0.05,0.33,-0.18,-0.89,-0.022,-0.021,-0.031,1.219,0,5.45
2023-07-17,11:17:27,Default Site,Sonde 13E101468,,21.97,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.6,91.1,1.42,0,0.2,0.2,0.04,0.3,-0.18,-0.91,-0.022,-0.022,-0.031,1.219,0,5.45
2023-07-17,11:17:28,Default Site,Sonde 13E101468,,21.971,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.6,91,1.39,0,0.2,0.2,0.04,0.32,-0.19,-0.92,-0.022,-0.018,-0.031,1.219,0,5.44
2023-07-17,11:17:30,Default Site,Sonde 13E101468,,21.973,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.6,90.9,1.35,0,0.2,0.2,0.05,0.34,-0.18,-0.9,-0.022,-0.024,-0.031,1.219,0,5.44
2023-07-17,11:17:32,Default Site,Sonde 13E101468,,21.974,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.6,90.9,1.33,0,0.2,0.19,0.04,0.3,-0.18,-0.9,-0.022,-0.022,-0.031,1.219,0,5.44
2023-07-17,11:17:33,Default Site,Sonde 13E101468,,21.975,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.7,90.7,1.29,0,0.2,0.2,0.03,0.27,-0.17,-0.88,-0.022,-0.023,-0.031,1.219,0,5.44
2023-07-17,11:17:35,Default Site,Sonde 13E101468,,21.976,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.7,90.7,1.26,0,0.2,0.19,0.03,0.27,-0.17,-0.88,-0.022,-0.024,-0.031,1.219,0,5.44
2023-07-17,11:17:37,Default Site,Sonde 13E101468,,21.977,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.7,90.6,1.24,0,0.2,0.19,0.05,0.36,-0.17,-0.88,-0.022,-0.024,-0.031,1.219,0,5.44
2023-07-17,11:17:38,Default Site,Sonde 13E101468,,21.979,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.7,90.5,1.2,0,0.2,0.19,0.06,0.39,-0.17,-0.88,-0.022,-0.028,-0.031,1.219,0,5.44
2023-07-17,11:17:40,Default Site,Sonde 13E101468,,21.98,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.8,90.4,1.18,0,0.2,0.2,0.06,0.39,-0.17,-0.89,-0.022,-0.022,-0.031,1.219,0,5.44
2023-07-17,11:17:42,Default Site,Sonde 13E101468,,21.981,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.8,90.3,1.17,0,0.21,0.2,0.05,0.35,-0.18,-0.89,-0.022,-0.023,-0.032,1.219,0,5.44
2023-07-17,11:17:43,Default Site,Sonde 13E101468,,21.982,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.8,90.2,1.16,0,0.21,0.21,0.07,0.43,-0.18,-0.91,-0.022,-0.021,-0.032,1.219,0,5.44
2023-07-17,11:17:45,Default Site,Sonde 13E101468,,21.983,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.8,90.1,1.15,0,0.2,0.2,0.08,0.47,-0.18,-0.92,-0.022,-0.016,-0.031,1.219,0,5.44
2023-07-17,11:17:47,Default Site,Sonde 13E101468,,21.984,736.9,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.9,90.1,1.13,0,0.2,0.19,0.07,0.42,-0.18,-0.91,-0.022,-0.022,-0.032,1.219,0,5.44
2023-07-17,11:17:48,Default Site,Sonde 13E101468,,21.986,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.9,90,1.13,0,0.2,0.19,0.05,0.36,-0.18,-0.91,-0.022,-0.021,-0.031,1.219,0,5.44
2023-07-17,11:17:50,Default Site,Sonde 13E101468,,21.987,737,96.5,99.5,8.44,1.3,1.2,1.3,1,0,7.99,-103.9,89.9,1.11,0,0.2,0.2,0.04,0.32,-0.19,-0.93,-0.022,-0.018,-0.031,1.219,0,5.44
